Bradi0180s00100	GO:0004650, GO:0005975
Bradi1g00200	GO:0005515
Bradi1g00210	GO:0005515
Bradi1g00213	GO:0003676, GO:0008270, GO:0016491, GO:0055114
Bradi1g00215	GO:0000166, GO:0000398, GO:0003676, GO:0017069
Bradi1g00219	
Bradi1g00222	
Bradi1g00234	GO:0043531
Bradi1g00247	
Bradi1g00260	GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468,  GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g00267	GO:0004672, GO:0005524, GO:0006468
Bradi1g00272	GO:0006855, GO:0015238, GO:0015297, GO:0016020, GO:0055085
Bradi1g00278	GO:0006355, GO:0046983,  GO:0043531
Bradi1g00282	
Bradi1g00300	GO:0006629, GO:0008152
Bradi1g00307	
Bradi1g00314	
Bradi1g00322	
Bradi1g00330	
Bradi1g00331	
Bradi1g00332	
Bradi1g00341	
Bradi1g00347	GO:0000166
Bradi1g00361	
Bradi1g00362	
Bradi1g00363	
Bradi1g00365	
Bradi1g00368	
Bradi1g00370	
Bradi1g00381	GO:0003824, GO:0005515
Bradi1g00382	
Bradi1g00383	
Bradi1g00387	
Bradi1g00400	GO:0008375, GO:0016020
Bradi1g00405	
Bradi1g00410	
Bradi1g00412	
Bradi1g00413	
Bradi1g00417	GO:0003824, GO:0005515
Bradi1g00427	GO:0003676, GO:0003677, GO:0004003, GO:0005524, GO:0005634, GO:0006139, GO:0006289, GO:0008026, GO:0016818
Bradi1g00438	GO:0008270
Bradi1g00450	
Bradi1g00460	GO:0005524, GO:0016020, GO:0016887
Bradi1g00470	GO:0005515
Bradi1g00480	
Bradi1g00482	
Bradi1g00485	
Bradi1g00491	GO:0005515
Bradi1g00497	GO:0005515
Bradi1g00510	GO:0003677, GO:0003729, GO:0005685, GO:0006302, GO:0006310, GO:0006376,  GO:0003729, GO:0005685, GO:0006376
Bradi1g00517	GO:0000166, GO:0003676
Bradi1g00530	
Bradi1g00535	
Bradi1g00540	GO:0030001, GO:0046872
Bradi1g00552	GO:0005215, GO:0006810, GO:0016020
Bradi1g00560	
Bradi1g00563	
Bradi1g00567	GO:0005515
Bradi1g00580	GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468
Bradi1g00587	GO:0004499, GO:0050660, GO:0050661, GO:0055114
Bradi1g00600	
Bradi1g00607	GO:0003774, GO:0005515, GO:0005524, GO:0016459
Bradi1g00620	
Bradi1g00630	
Bradi1g00642	
Bradi1g00654	GO:0016020, GO:0016021, GO:0022857,  GO:0016021, GO:0022857
Bradi1g00666	GO:0003677, GO:0003700, GO:0006355
Bradi1g00678	
Bradi1g00690	GO:0016787
Bradi1g00700	GO:0005315, GO:0006817, GO:0016021, GO:0055085
Bradi1g00710	
Bradi1g00720	
Bradi1g00730	GO:0005524, GO:0005737, GO:0042026
Bradi1g00740	
Bradi1g00750	GO:0003677, GO:0003700, GO:0006352, GO:0006355, GO:0016987
Bradi1g00760	GO:0005524, GO:0016020, GO:0016887
Bradi1g00770	GO:0030001, GO:0046872
Bradi1g00780	GO:0006855, GO:0015238, GO:0015297, GO:0016020, GO:0055085
Bradi1g00785	
Bradi1g00790	GO:0016788
Bradi1g00800	
Bradi1g00807	GO:0016788
Bradi1g00820	
Bradi1g00830	
Bradi1g00840	
Bradi1g00847	GO:0005515
Bradi1g00860	GO:0016798
Bradi1g00867	GO:0003735, GO:0005622, GO:0005840, GO:0006412
Bradi1g00880	GO:0009772, GO:0019684, GO:0045156
Bradi1g00887	GO:0005488,  GO:0005488, GO:0006886, GO:0008536
Bradi1g00900	
Bradi1g00910	GO:0008270
Bradi1g00920	
Bradi1g00931	
Bradi1g00940	
Bradi1g00950	GO:0016491, GO:0055114
Bradi1g00960	GO:0043531
Bradi1g00970	
Bradi1g00980	GO:0010181, GO:0016491, GO:0044238, GO:0055114
Bradi1g00990	
Bradi1g01000	GO:0006633
Bradi1g01007	GO:0000723, GO:0003677, GO:0003684, GO:0004003, GO:0005634, GO:0006303, GO:0006310, GO:0016817, GO:0042162, GO:0043564,  GO:0003677, GO:0006303
Bradi1g01014	GO:0006810
Bradi1g01021	GO:0005515
Bradi1g01030	GO:0003677
Bradi1g01040	GO:0005524, GO:0016887
Bradi1g01047	
Bradi1g01058	GO:0003700, GO:0006355, GO:0043565
Bradi1g01070	
Bradi1g01075	
Bradi1g01080	
Bradi1g01090	GO:0005096
Bradi1g01100	
Bradi1g01110	GO:0000166, GO:0003676
Bradi1g01120	GO:0003723, GO:0004525, GO:0006396
Bradi1g01130	GO:0003700, GO:0005634, GO:0006355, GO:0043565
Bradi1g01140	
Bradi1g01150	GO:0004553, GO:0005618, GO:0005975, GO:0006073, GO:0010411, GO:0016762, GO:0042546, GO:0048046
Bradi1g01160	
Bradi1g01170	GO:0003950, GO:0010181, GO:0016491, GO:0055114
Bradi1g01176	
Bradi1g01177	GO:0005515
Bradi1g01178	GO:0005515
Bradi1g01180	GO:0005524, GO:0016887
Bradi1g01190	GO:0003824, GO:0008152, GO:0016788
Bradi1g01200	
Bradi1g01210	
Bradi1g01220	
Bradi1g01227	
Bradi1g01240	GO:0005524, GO:0016887
Bradi1g01250	GO:0003676, GO:0008270, GO:0043531,  GO:0043531
Bradi1g01257	GO:0043531
Bradi1g01270	
Bradi1g01280	GO:0005515
Bradi1g01290	
Bradi1g01300	GO:0046982
Bradi1g01310	
Bradi1g01320	
Bradi1g01330	
Bradi1g01332	
Bradi1g01336	
Bradi1g01338	
Bradi1g01342	
Bradi1g01343	
Bradi1g01344	
Bradi1g01357	GO:0005524, GO:0016887
Bradi1g01363	GO:0005515
Bradi1g01380	GO:0043531
Bradi1g01387	GO:0043531
Bradi1g01392	
Bradi1g01397	GO:0003677, GO:0003917, GO:0005694, GO:0006265, GO:0043531
Bradi1g01407	GO:0043531
Bradi1g01420	GO:0005524
Bradi1g01427	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g01434	GO:0005515
